"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",72.5,65.0,57.4,69.8,63.0,55.4,72.3,66.5,"N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",65.7,54.7,52.8,64.7,58.2,51.5,65.0,56.7,"N/A"
"Bridgeport School District","=""0150011""","Paul Laurence Dunbar School","=""0154111""",46.1,35.5,39.6,41.7,35.6,36.2,48.4,38.6,"N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",50.0,42.8,39.1,52.8,44.0,38.6,55.0,43.6,"N/A"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",44.0,35.9,32.8,46.6,38.5,39.0,49.1,41.2,"N/A"
"Bridgeport School District","=""0150011""","Thomas Hooker School","=""0151311""",55.5,45.4,44.2,54.7,43.9,46.3,61.3,50.0,"N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",50.6,41.1,40.9,51.1,44.6,38.0,55.7,47.9,"N/A"
"Bridgeport School District","=""0150011""","Warren Harding High School","=""0156311""",36.1,32.3,33.4,37.4,32.9,29.1,37.3,33.4,"N/A"
"Bridgeport School District","=""0150011""","Wilbur Cross School","=""0153911""",45.2,36.8,33.8,42.0,36.2,34.6,44.0,36.5,"N/A"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*","*","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",58.0,55.3,53.5,55.6,51.3,53.1,54.5,53.3,"N/A"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",57.4,52.1,60.2,59.5,54.7,54.9,55.2,50.9,"N/A"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","*","*","*","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",65.5,57.8,59.6,66.7,57.4,55.1,66.9,57.4,"N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","*","*","*","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Chippens Hilll Middle School Extended Resource","=""0170811""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*","*","*","*","*","*","*","N/A"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",72.7,66.3,58.0,73.1,67.1,54.9,71.6,66.6,"N/A"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",70.0,63.3,62.7,66.2,59.8,53.9,69.0,60.6,"N/A"
