"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Hartford School District","=""0640011""","M. D. Fox School","=""0640811""",49.2,43.6,38.2,46.0,40.0,37.4,50.3,44.7,"N/A"
"Hartford School District","=""0640011""","M. L. King, Jr. Middle School","=""0641611""",48.4,40.7,43.2,45.5,38.4,38.2,46.0,40.6,"N/A"
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","*","*","*","*","*","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","McDonough Middle School","=""0641211""",46.0,37.2,37.2,43.5,35.7,39.4,42.2,38.7,"N/A"
"Hartford School District","=""0640011""","Milner School","=""0641911""",42.7,34.5,36.6,44.3,34.5,35.5,42.2,36.1,"N/A"
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""",65.2,52.6,47.6,59.8,51.8,46.0,62.9,55.3,"N/A"
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",66.5,55.2,"*",64.6,51.5,"*",64.0,55.1,"N/A"
"Hartford School District","=""0640011""","Naylor/CCSU Leadership Academy","=""0641411""",57.4,48.4,47.7,53.7,47.5,46.6,57.9,49.4,"N/A"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",52.2,46.3,40.5,45.7,43.0,38.8,47.1,45.0,"N/A"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",48.8,44.1,48.7,51.2,46.0,43.8,47.5,44.6,"N/A"
"Hartford School District","=""0640011""","RISE - Bulkeley High School","=""0648311""","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","RISE - HPHS Engineering and Green Technology Academy","=""0648211""","N/A","N/A","*","N/A","N/A","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","RISE - M.D. Fox School","=""0645911""",32.1,26.5,"*",25.7,20.9,"*",21.2,18.0,"N/A"
"Hartford School District","=""0640011""","RISE - West Middle School","=""0644611""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Hartford School District","=""0640011""","Rawson School","=""0641711""",50.3,45.0,42.1,49.8,44.1,42.8,50.8,48.0,"N/A"
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""",72.7,67.3,61.6,72.1,64.9,55.6,73.8,69.2,"N/A"
"Hartford School District","=""0640011""","SAND School","=""0640111""",46.6,35.1,36.3,48.7,40.0,36.7,47.2,41.5,"N/A"
"Hartford School District","=""0640011""","STEM Magnet at Fisher School","=""0642511""",75.2,70.2,60.4,69.1,67.3,57.2,68.4,67.7,"N/A"
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",56.2,50.6,44.3,50.4,50.0,39.1,54.0,55.2,"N/A"
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",49.8,38.1,33.1,49.6,40.1,38.9,50.7,43.0,"N/A"
"Hartford School District","=""0640011""","Sport and Medical Sciences Academy","=""0646511""",54.7,50.7,53.1,52.6,49.0,52.0,50.7,48.6,"N/A"
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",62.4,60.4,66.0,63.1,65.3,60.4,58.7,57.8,"N/A"
"Hartford School District","=""0640011""","Webster Micro Society Magnet School","=""0642011""",63.6,57.9,63.1,62.0,59.3,55.5,59.3,55.8,"N/A"
"Hartford School District","=""0640011""","West Middle School","=""0642111""",55.4,50.4,41.2,49.1,44.0,38.4,50.9,46.9,"N/A"
"Hartford School District","=""0640011""","Wish Museum School","=""0642211""",46.9,37.9,38.5,42.1,34.5,32.4,44.6,38.3,"N/A"
"Hartford School District","=""0640011""","iGOAL 1 - Breakthrough Magnet School, North","=""0649511""","*","*","*","*","*","*","*","*","N/A"
"Hartford School District","=""0640011""","iGOAL 1 - Burns School","=""0644711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Hartford School District","=""0640011""","iGOAL 1 - HPHS Law and Government Academy","=""0644911""","*","*","*","*","*","*","*","*","N/A"
"Hartford School District","=""0640011""","iGOAL 1 - McDonough Middle School","=""0648911""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Hartford School District","=""0640011""","iGOAL 1 - Moylan School","=""0649811""","*","*","*","N/A","N/A","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","iGOAL 1 - Rawson School","=""0644411""","*","*","*",37.7,40.6,"*",33.5,40.3,"N/A"
"Hartford School District","=""0640011""","iGOAL 2 - Moylan School","=""0648511""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","iGoal 2 - Bulkeley High School","=""0645011""","*","*","N/A","*","*","*","*","*","N/A"
"Hartland School District","=""0650011""","Hartland School","=""0650111""",74.9,66.9,66.6,76.3,66.9,63.8,76.7,67.8,"N/A"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""",73.4,68.6,62.4,73.4,72.6,60.9,73.8,73.3,"N/A"
"Kent School District","=""0680011""","Kent Center School","=""0680111""",80.1,72.5,68.3,81.9,73.0,59.4,82.2,74.3,"N/A"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","*","*","*","*","*","*","N/A","N/A","N/A"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",56.4,48.6,52.6,53.7,47.2,50.9,56.3,50.9,"N/A"
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",71.3,60.1,55.8,67.9,57.4,53.0,69.0,58.9,"N/A"
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",68.5,60.9,"N/A",65.8,57.8,"N/A",68.8,65.4,"N/A"
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",75.6,67.4,"N/A",75.3,67.8,"N/A",79.8,74.9,"N/A"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",74.3,67.7,60.9,72.5,67.7,60.3,72.5,66.5,"N/A"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",62.2,61.3,59.4,60.4,57.0,58.4,59.4,58.1,"N/A"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",69.7,64.2,65.2,65.1,63.0,57.3,68.7,61.4,"N/A"
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",72.5,67.8,67.5,72.2,66.7,64.9,72.8,68.7,"N/A"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",72.4,66.2,66.4,67.3,62.8,54.3,70.0,67.7,"N/A"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",60.4,58.2,66.7,62.3,57.5,61.8,61.8,58.0,"N/A"
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",68.3,64.4,60.0,67.6,63.1,55.7,66.0,66.1,"N/A"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",73.3,61.5,58.2,71.5,60.4,61.7,72.0,60.5,"N/A"
"Litchfield School District","=""0740011""","Center School","=""0740211""",78.7,77.1,"N/A",74.8,72.6,"N/A",78.5,76.3,"N/A"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",63.1,60.5,68.1,63.7,63.1,66.1,64.5,60.3,"N/A"
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""",83.8,78.6,75.0,79.5,80.4,73.2,80.0,78.2,"N/A"
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",75.0,68.6,64.1,79.1,72.7,64.2,77.4,74.6,"N/A"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",72.9,69.4,67.9,72.0,69.6,58.4,72.1,70.0,"N/A"
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",75.9,70.1,63.5,75.7,70.1,59.9,76.1,73.2,"N/A"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""",82.1,76.9,"N/A",79.6,76.1,"N/A",75.8,72.5,"N/A"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""",80.9,78.3,"N/A",79.9,77.9,"N/A",76.6,72.4,"N/A"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""",83.9,80.5,"N/A",78.6,77.6,"N/A",79.7,77.2,"N/A"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",72.0,69.1,64.7,67.2,67.3,62.8,69.1,70.1,"N/A"
"Manchester School District","=""0770011""","Bowers School","=""0770111""",64.3,57.0,50.3,61.5,56.5,48.9,63.0,59.2,"N/A"
"Manchester School District","=""0770011""","Buckley School","=""0770311""",70.4,67.4,58.2,67.0,67.9,60.6,68.3,64.6,"N/A"
"Manchester School District","=""0770011""","Elementary Site 2","=""0771111""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",60.2,57.6,"*",60.5,56.7,"N/A",58.8,51.3,"N/A"
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",67.8,62.0,58.9,63.0,61.5,51.5,63.4,57.5,"N/A"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",59.0,49.8,49.7,52.9,49.9,46.9,55.3,48.8,"N/A"
"Manchester School District","=""0770011""","Keeney School","=""0770611""",65.7,60.3,47.7,65.5,61.4,48.1,65.1,63.1,"N/A"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",51.7,47.3,49.0,52.8,48.8,50.2,53.4,49.5,"N/A"
"Manchester School District","=""0770011""","Manchester High School-Site 2","=""0770211""","*","*","*","*","*","*","*","*","N/A"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","*",25.5,"*","*","*","*","*","*","N/A"
"Manchester School District","=""0770011""","Martin School","=""0771611""",61.5,55.4,48.4,63.4,59.0,47.8,65.8,61.7,"N/A"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","*","*","*","*","*","*","N/A","N/A","N/A"
"Manchester School District","=""0770011""","Robertson School","=""0771011""",64.7,62.6,49.7,64.7,60.4,45.3,65.6,60.7,"N/A"
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",56.6,50.2,49.8,54.7,48.0,43.6,55.8,48.0,"N/A"
"Manchester School District","=""0770011""","Waddell School","=""0771311""",62.6,55.7,54.8,62.1,58.9,49.6,61.1,51.5,"N/A"
"Manchester School District","=""0770011""","Washington School","=""0771411""",55.6,50.4,38.6,54.8,52.3,39.3,52.5,50.8,"N/A"
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""",84.5,81.1,"N/A",83.5,80.7,"N/A",84.5,82.5,"N/A"
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""",83.4,77.5,"N/A",83.3,82.6,"N/A",81.4,78.1,"N/A"
"Mansfield School District","=""0780011""","Mansfield Middle School","=""0785111""",80.8,75.4,68.6,77.1,74.8,65.2,79.4,75.3,"N/A"
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""",80.6,74.6,"N/A",81.4,77.2,"N/A",82.8,77.3,"N/A"
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",79.2,77.1,67.4,78.2,75.8,63.8,76.6,73.3,"N/A"
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",63.6,56.4,52.2,64.3,56.1,51.1,64.7,57.3,"N/A"
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",64.1,60.8,48.7,62.1,60.5,48.9,64.8,63.7,"N/A"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",49.5,41.7,43.6,49.7,44.1,43.2,52.2,45.3,"N/A"
"Meriden School District","=""0800011""","Hanover School","=""0800311""",63.0,55.0,50.1,61.3,56.2,48.9,65.6,60.8,"N/A"
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",65.0,57.6,48.3,67.4,60.4,48.7,72.5,67.2,"N/A"
"Meriden School District","=""0800011""","John Barry School","=""0800511""",60.1,55.2,41.5,63.8,59.5,44.6,71.0,67.1,"N/A"
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",62.4,51.7,50.1,59.1,51.9,46.3,62.3,54.3,"N/A"
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",64.4,58.2,47.8,64.1,59.5,51.7,65.5,61.2,"N/A"
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",47.7,40.9,39.1,47.7,43.8,44.0,49.3,43.8,"N/A"
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",59.7,54.7,44.7,57.3,54.3,43.4,63.3,59.4,"N/A"
"Meriden School District","=""0800011""","SOAR - LMS","=""0802311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Meriden School District","=""0800011""","SOAR - PHS","=""0802511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Meriden School District","=""0800011""","SOAR - WMS","=""0802411""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Meriden School District","=""0800011""","SOAR- ES","=""0802211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Meriden School District","=""0800011""","STARS - ES","=""0800611""","*","*","*","*","*","*",50.1,53.2,"N/A"
"Meriden School District","=""0800011""","STARS - HS","=""0801811""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Meriden School District","=""0800011""","STARS-MS","=""0801511""","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Meriden School District","=""0800011""","STEP - ES","=""0800911""","*","*","*","*","*","*","*","*","N/A"
"Meriden School District","=""0800011""","STEPS  - MS","=""0801211""",39.0,20.2,"*",30.1,23.1,"*","*","*","N/A"
"Meriden School District","=""0800011""","Success Academy","=""0801411""","*","*","*","*","*","*","*","*","N/A"
"Meriden School District","=""0800011""","TSC - MHS","=""0801611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Meriden School District","=""0800011""","TSC - PHS","=""0801711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",74.8,67.8,63.7,73.7,68.0,61.8,78.2,72.7,"N/A"
"Meriden School District","=""0800011""","Venture Academy","=""0801311""","*","*","*","*","*","*","N/A","N/A","N/A"
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",56.1,43.8,42.1,55.8,50.1,48.8,58.9,51.5,"N/A"
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",63.4,56.3,55.3,64.4,58.3,50.8,62.6,58.4,"N/A"
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""","N/A","N/A","*","*","*","N/A","*","*","N/A"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",64.5,57.7,51.7,66.5,62.3,52.5,68.2,63.7,"N/A"
"Middletown School District","=""0830011""","ICM - Farm Hill","=""0830611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Middletown School District","=""0830011""","ICM - Moody 3-5","=""0830711""","*","*","*","*","*","*","*","*","N/A"
"Middletown School District","=""0830011""","ICM - Moody K-2","=""0830811""","*","*","*","*","*","*","N/A","N/A","N/A"
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""","*","*","*","*","*","*","*","*","N/A"
"Middletown School District","=""0830011""","ICM- Woodrow Wilson Middle School","=""0830411""","*","*","*","*","*","*","*","*","N/A"
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""",69.2,61.5,"N/A",64.4,59.2,"N/A",69.0,64.1,"N/A"
"Middletown School District","=""0830011""","Lawrence School","=""0831311""",70.4,68.8,57.3,69.5,67.6,55.9,69.1,70.8,"N/A"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""","N/A","N/A","*","*","*","*","N/A","N/A","N/A"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","*","*","N/A","*","*","*","*","*","N/A"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*","*","*","N/A","N/A","N/A","*","*","N/A"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""",58.2,52.7,42.7,57.8,53.6,46.4,68.2,64.4,"N/A"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",54.4,49.0,54.6,56.7,53.0,50.1,53.4,50.7,"N/A"
"Middletown School District","=""0830011""","Moody School","=""0831211""",78.3,73.1,57.8,77.9,76.6,61.7,77.3,75.8,"N/A"
"Middletown School District","=""0830011""","OASIS","=""0830311""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Middletown School District","=""0830011""","STEM - Macdonough","=""0832111""",88.5,85.9,"*",93.3,87.1,"*","N/A","N/A","N/A"
"Middletown School District","=""0830011""","Snow School","=""0831111""",74.8,65.5,49.9,68.3,64.6,52.3,72.3,67.1,"N/A"
"Middletown School District","=""0830011""","Spencer School","=""0830111""",66.8,60.6,54.7,67.8,61.6,51.6,64.5,60.7,"N/A"
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""","N/A","N/A","N/A","*","*","*","N/A","N/A","N/A"
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","*","*","*","*","*","*","N/A","N/A","N/A"
"Middletown School District","=""0830011""","Wesley School","=""0831411""",72.8,65.1,53.4,72.8,68.7,61.7,70.1,64.7,"N/A"
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",64.3,55.8,52.8,63.2,55.0,50.5,59.0,52.3,"N/A"
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""",72.0,65.6,59.2,71.1,66.9,58.9,72.2,70.5,"N/A"
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""",72.3,62.6,58.7,71.8,65.8,58.3,72.6,69.4,"N/A"
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""",76.4,69.9,59.1,75.0,70.9,61.2,72.8,70.6,"N/A"
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",73.2,67.5,64.7,75.8,72.6,62.0,74.7,71.9,"N/A"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",60.6,54.2,56.4,61.3,57.2,54.8,60.7,59.8,"N/A"
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",61.5,56.1,60.0,66.3,61.4,55.4,61.4,58.7,"N/A"
"Milford School District","=""0840011""","Live Oaks School","=""0841611""",74.0,69.0,61.3,74.2,74.9,64.3,72.6,73.9,"N/A"
"Milford School District","=""0840011""","Mathewson School","=""0841711""",75.2,70.0,63.0,75.2,71.0,63.1,76.8,73.1,"N/A"
"Milford School District","=""0840011""","Meadowside School","=""0840711""",71.7,66.2,63.0,71.8,69.0,62.1,70.4,68.9,"N/A"
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""",74.8,70.4,68.5,73.0,71.7,63.9,73.0,73.2,"N/A"
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""",76.6,68.2,68.4,72.3,72.6,61.5,73.9,74.8,"N/A"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""",71.1,68.6,64.1,70.9,69.7,60.3,71.4,70.3,"N/A"
"Milford School District","=""0840011""","The Academy","=""0840311""","*","*","*","*","*","*","*","*","N/A"
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",68.4,62.4,54.2,72.1,66.2,57.7,69.8,66.2,"N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",82.9,78.4,70.2,84.0,78.0,75.7,85.0,79.8,"N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""",79.1,68.3,64.5,79.2,71.7,66.1,78.3,70.8,"N/A"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","*","*","*","*","*","*","*","*","N/A"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",66.4,64.3,72.2,68.1,66.9,67.9,68.1,65.1,"N/A"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",85.0,79.4,72.7,85.6,79.9,73.3,85.7,79.7,"N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",80.1,75.1,72.8,81.1,76.7,69.5,83.4,79.5,"N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",71.8,65.8,57.9,73.2,67.7,58.9,71.0,69.1,"N/A"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",68.6,60.1,60.3,68.2,61.0,61.5,68.9,62.8,"N/A"
"Montville School District","=""0860011""","Mohegan School","=""0860111""",69.4,65.3,57.8,69.3,69.6,55.0,73.4,73.7,"N/A"
"Montville School District","=""0860011""","Montville High School","=""0866111""",58.0,54.8,64.1,62.6,57.9,58.6,58.8,55.8,"N/A"
"Montville School District","=""0860011""","Oakdale School","=""0860511""",83.0,76.8,67.7,81.5,77.6,69.1,81.8,80.6,"N/A"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","*","*","*","*","*","*","*","*","N/A"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",66.8,64.6,"N/A",62.4,62.9,"N/A",67.6,64.3,"N/A"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",62.7,50.1,52.5,65.8,58.8,52.6,65.2,62.1,"N/A"
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",69.4,59.8,49.0,64.1,63.0,48.0,67.9,67.3,"N/A"
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","N/A","N/A","*","*","*","*","*","*","N/A"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",65.8,56.2,51.2,63.6,57.3,47.8,65.8,65.5,"N/A"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",67.9,67.5,"N/A",66.0,65.1,"N/A",70.9,68.4,"N/A"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",67.6,61.4,"N/A",67.4,68.5,"N/A",70.9,71.1,"N/A"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",50.3,45.3,50.1,52.1,47.3,48.3,52.3,47.3,"N/A"
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",70.4,67.6,"N/A",67.7,67.1,"N/A",73.3,71.8,"N/A"
"Naugatuck School District","=""0880011""","Western School","=""0880711""",66.5,62.0,"N/A",65.9,64.1,"N/A",69.9,69.5,"N/A"
"New Britain School District","=""0890011""","Brookside School","=""0899111""",21.7,21.6,"*","*","*","*","*","*","N/A"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",59.1,48.1,40.2,54.9,45.2,35.7,55.9,46.8,"N/A"
"New Britain School District","=""0890011""","DiLoreto Elementary & Middle School","=""0891111""",52.2,44.2,43.3,49.8,43.3,40.1,54.0,45.5,"N/A"
"New Britain School District","=""0890011""","Gaffney Elementary School","=""0890511""",57.9,50.2,47.5,53.0,48.5,44.3,52.3,47.7,"N/A"
"New Britain School District","=""0890011""","Gaffney KEY Elementary","=""0891611""","*","*","*","*","*","*","*","*","N/A"
"New Britain School District","=""0890011""","Holmes Behavior Support","=""0891011""","*","*","N/A","*","*","*","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Holmes Elementary School","=""0890611""",63.5,57.8,51.3,60.9,57.0,44.0,62.5,55.3,"N/A"
"New Britain School District","=""0890011""","Holmes Sunrise Intermediate","=""0890411""","*","*","*","*","*","N/A","*","*","N/A"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",84.7,73.2,64.8,87.7,74.4,64.4,88.0,78.0,"N/A"
"New Britain School District","=""0890011""","Jefferson Elementary School","=""0890711""",59.5,51.2,43.8,58.5,49.0,40.9,63.4,55.8,"N/A"
"New Britain School District","=""0890011""","Lincoln Elementary School","=""0890811""",57.4,49.9,43.4,54.8,48.0,45.5,54.8,46.3,"N/A"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",42.0,40.9,40.9,44.4,41.7,39.6,45.3,41.9,"N/A"
"New Britain School District","=""0890011""","New Britain High School Satellite Careers Academy","=""0899511""","N/A","N/A","N/A",34.6,30.8,"*",32.9,30.5,"N/A"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",34.4,27.6,"*",28.9,23.1,26.0,29.3,"*","N/A"
"New Britain School District","=""0890011""","Northend Elementary School","=""0890911""",53.4,41.5,35.6,55.1,48.4,38.6,56.3,47.1,"N/A"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",47.2,39.2,39.4,43.2,38.5,37.1,46.3,39.0,"N/A"
"New Britain School District","=""0890011""","Slade KEY Middle","=""0891711""","*","*","*","*","*","*","*","*","N/A"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",46.0,38.8,42.3,43.4,35.2,41.3,44.8,37.0,"N/A"
"New Britain School District","=""0890011""","Smalley Elementary School","=""0891211""",47.3,38.5,36.8,43.2,36.7,34.0,46.3,38.0,"N/A"
"New Britain School District","=""0890011""","Smith Elementary School","=""0891311""",53.7,51.1,42.3,51.8,47.6,37.9,53.9,52.5,"N/A"
"New Britain School District","=""0890011""","Steps","=""0891811""",35.5,21.2,"*","N/A","N/A","N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Sunrise Primary (Chamberlain)","=""0890211""","*","*","N/A","*","*","N/A","*","*","N/A"
"New Britain School District","=""0890011""","Vance Elementary School","=""0891511""",57.3,48.1,42.2,53.5,47.3,41.2,55.2,49.7,"N/A"
"New Canaan School District","=""0900011""","East School","=""0900411""",88.1,85.4,"N/A",88.7,87.6,"N/A",86.9,85.5,"N/A"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",74.7,75.0,71.8,76.2,75.4,68.4,74.0,73.9,"N/A"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",81.1,78.4,71.2,85.0,84.8,71.1,86.6,85.0,"N/A"
"New Canaan School District","=""0900011""","South School","=""0900211""",87.6,83.8,"N/A",88.8,85.5,"N/A",88.8,86.2,"N/A"
"New Canaan School District","=""0900011""","West School","=""0900311""",88.6,84.4,"N/A",90.7,89.5,"N/A",90.9,90.3,"N/A"
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",78.1,73.4,60.5,77.1,74.9,65.2,78.9,76.2,"N/A"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",66.7,59.2,65.0,64.7,57.3,65.7,66.8,62.9,"N/A"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",76.6,68.6,63.4,74.0,69.7,63.5,79.4,74.5,"N/A"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",77.2,67.1,63.4,72.3,66.6,59.1,75.0,69.0,"N/A"
"New Haven School District","=""0930011""","ASPIRE","=""0935611""",31.5,19.8,"*",32.0,22.4,"*","*","*","N/A"
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",48.0,40.2,36.5,47.9,40.7,35.4,49.0,39.0,"N/A"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",53.5,47.2,46.4,55.5,46.6,42.2,54.3,42.4,"N/A"
"New Haven School District","=""0930011""","Beecher School","=""0930311""",58.7,48.9,40.9,57.5,48.0,40.4,60.5,52.9,"N/A"
